id	candidate	candidate_confidence	relevant_yn	relevant_yn_confidence	sentiment	sentiment_confidence	subject_matter	subject_matter_confidence	candidate_gold	name	relevant_yn_gold	retweet_count	sentiment_gold	subject_matter_gold	tweet_coord	tweet_created	tweet_id	tweet_location	user_timezone		text
1620	No candidate mentioned	1	yes	1	Negative	1	None of the above	1		Gritty_Greg		0				8/7/15 9:39	6.30E+17	"Ottawa, Canada"	Atlantic Time (Canada)		I for one am shocked that the party whose audience booed an American soldier applauded a rallying cry to be meaner to people. #GOPDebate
8522	Donald Trump	1	yes	1	Negative	0.6742	FOX News or Moderators	0.6742		MobilePickUp		72				8/7/15 0:21	6.30E+17	"California, USA"	Pacific Time (US & Canada)		"RT @larryelder: Trump should have said, ""Megyn, ask these nine candidates, if they plan to support ME when I win the nomination.""#GOPDebat…"
3585	Ben Carson	1	yes	1	Negative	0.6596	None of the above	1		travarp		0				8/7/15 9:17	6.30E+17	"ÜT: 29.62136,-82.357796"	Eastern Time (US & Canada)		I refuse to trust anyone who walked away from the GOP debate last night thinking that Ben Carson piqued your interest #GOPDebate
6809	Donald Trump	1	yes	1	Negative	0.6603	FOX News or Moderators	0.6603		scorpio5053		2				8/7/15 8:14	6.30E+17	The United States			@WalterWhfla @DesignerDeb3 @realDonaldTrump ABSOLUTELY! I REFUSE TO ALLOW @FoxNews to speak for me. I'll draw my own conclusions #GOPDebate
6928	No candidate mentioned	1	yes	1	Negative	0.6489	FOX News or Moderators	1		HungryFeminist		0				8/7/15 8:12	6.30E+17	"Washington, DC"	Pacific Time (US & Canada)		"#GOPDebate Winners: Megyn Kelly, Carly Fiorina, and (hopefully) Hillary's and Bernie's Finance teams."
2933	Ben Carson	1	yes	1	Negative	0.6667	None of the above	0.6563		england498		41				8/7/15 9:25	6.30E+17		Central Time (US & Canada)		"RT @AmyMek: ""If you don't get the Military Right, nothing else is going 2 work…"" - Carson. This is exactly why Obama attacks our Military! …"
4271	No candidate mentioned	1	yes	1	Negative	0.6667	Religion	1		Thomg57		198				8/7/15 9:08	6.30E+17	"Seattle, Washington"	Pacific Time (US & Canada)		"RT @ImJustCeej: When the #GOPDebate candidates finally meet God, and see a She's a black woman http://t.co/ObWklPfUbQ"
11970	Donald Trump	1	yes	1	Negative	0.6687	Abortion	1		LaurenSukin		0				8/6/15 19:28	6.29E+17				One of #Trump's friends kids just found out he was supposed to be aborted. #oops #GOPDebates
8719	No candidate mentioned	1	yes	1	Neutral	0.6769	FOX News or Moderators	0.6769		6eb21bed35694ae		132				8/6/15 22:31	6.30E+17	U.S			RT @RWSurferGirl: Is it just me or does anyone else want to punch Chris Wallace in the face? #GOPDebate #GOPDebates 🇺🇸
11585	No candidate mentioned	1	yes	1	Neutral	0.7059	None of the above	1		footenotes		0				8/6/15 19:34	6.29E+17		Central Time (US & Canada)		@Gayer_Than_Thou Feel better soon! (And don't watch #GOPDebates.) I prescribe Percodan + Butter Pecan @Willy1733 #TCMParty
2004	Donald Trump	1	yes	1	Negative	1	FOX News or Moderators	0.6707		Scully64		31				8/7/15 9:35	6.30E+17	"Criminology Major,Poli-Science"	Pacific Time (US & Canada)		RT @princeofbordue1: WRONG! #EPICFAIL @megynkelly attacked @realDonaldTrump from the start. There nothing fair and balanced. #GOPDebate ht…
13341	Jeb Bush	1	yes	1	Negative	1	Jobs and Economy	1		kwrcrow		0				8/6/15 19:06	6.29E+17	Fly Over Country	Mountain Time (US & Canada)		@JebBush makes HUGE promises and claims he can create 19million jobs. 3x what daddy and W did combined. #GOPDebates Please don't lie Jeb.
2525	No candidate mentioned	1	yes	1	Negative	1	None of the above	1		DardenKristen		0				8/7/15 9:29	6.30E+17				Drank way too much 🍷 watching the #GOPDebate hangover #GDFR
8981	Jeb Bush	1	yes	1	Negative	0.6842	None of the above	1		dmcrane		18				8/6/15 21:18	6.30E+17	"San Tan Valley, AZ"	Arizona		"RT @SupermanHotMale: I lived here in Florida for 8 years under Jeb w bush and I swear, no more #GopDebates"
13401	Ben Carson	1	yes	1	Positive	0.6989	None of the above	1		marylgallegos		5				8/6/15 19:05	6.29E+17	"Portland, Oregon"	Pacific Time (US & Canada)		RT @kwrcrow: #DrBenCarson just said he doubts #HillaryClinton will be nominee. Hope he's right. #GOPDebates
5613	No candidate mentioned	1	yes	1	Neutral	0.6264	None of the above	1		deejum		0				8/7/15 8:32	6.30E+17	"New York, NY"	Eastern Time (US & Canada)		"I'm not normally an instigator, but I couldn't help myself in texting a choice conservative family member re: #GOPDebate."
9485	Donald Trump	1	yes	1	Negative	0.7215	None of the above	1		Reid_CO		3				8/6/15 20:23	6.29E+17	"ÜT: 39.763427,-104.849687"	Central Time (US & Canada)		RT @tmservo433: Prediction: Donald Trump goes up in post debate polls. Because he looks no crazier than anyone else and more entertaining #…
8626	No candidate mentioned	1	yes	1	Negative	0.6559	None of the above	1		amysacco		19				8/6/15 23:09	6.30E+17	NYC			"RT @BettyFckinWhite: So many great jokes on Twitter tonight about the #GOPDebates, but not as many as there were on stage."
13420	Jeb Bush	1	yes	1	Negative	0.6566	None of the above	1		Obama_Biden_13		0				8/6/15 19:04	6.29E+17				Jeb bush who??😴😴😴😴😴. #gopdebates
10154	Donald Trump	1	yes	1	Negative	1	Religion	0.6839		ChicagoGirl246		3				8/6/15 20:00	6.29E+17		Central Time (US & Canada)		"RT @SaintGrimlock: Trump was thinking message from God, I haven't told these other guys anything .#GOPDebates"
352	Chris Christie	0.6667	yes	1	Positive	1	None of the above	1		HaymoreTre4		0				8/7/15 9:52	6.30E+17	Winston-Salem 			@ChrisChristie won the #GOPDebate last night. Only candidate who answered questions directly and not afraid to take on tough issues.
5444	Scott Walker	1	yes	1	Negative	1	Jobs and Economy	0.6977		tomcohn_oberlin		3				8/7/15 8:35	6.30E+17				RT @AndreJuwaan: How does @ScottWalker plan on giving priority to working American families and wages if he is so anti-union? #DebateWithBe…
5665	Donald Trump	1	yes	1	Negative	1	None of the above	1		KatieJ_Knob		2				8/7/15 8:32	6.30E+17		Eastern Time (US & Canada)		RT @jon_m_swift: trump is a turd #gopdebate
7333	Donald Trump	1	yes	1	Neutral	0.6482	None of the above	1		kyaecker		0				8/7/15 8:06	6.30E+17	California Sierra Nevada	Pacific Time (US & Canada)		http://t.co/7A6fwkAm8K I for one will watch something else at 9pm. They should move #hannity back to that spot #gopdebate
2507	No candidate mentioned	1	yes	1	Negative	1	Abortion	1		MatthewTwihard		0				8/7/15 9:30	6.30E+17	"Kenner,La"	Central Time (US & Canada)		Abortion rights are barbaric and need to go - we are killing American citizens! #GOPDebate #prolife #AbortionIsMurder #PlannedParenthood
10186	No candidate mentioned	1	yes	1	Positive	0.6147	None of the above	1		micswinkle		28				8/6/15 19:59	6.29E+17		Eastern Time (US & Canada)		RT @Wilberforce91: One of my favorite things about the #GOPDebates is how many of these candidates I've seen in person. Thanks @LibertyU &amp; …
4501	Donald Trump	1	yes	1	Positive	0.6702	None of the above	1		georgeson1992		0				8/7/15 8:49	6.30E+17	"Manchester,Ct."	Quito		What a show! #Trump #GOPDebate #RosieODonnell — watching Republican Presidential Candidates Debate
10437	Marco Rubio	1	yes	1	Negative	0.6744	Religion	0.6744		NateMJensen		0				8/6/15 19:55	6.29E+17	"Silver Spring, MD"	Eastern Time (US & Canada)		Rubio claiming God made a mistake in making Democrats. #GOPdebates
11681	John Kasich	0.6585	yes	1	Neutral	0.6585	LGBT issues	1		Pamelajn922		2				8/6/15 19:32	6.29E+17	New York			"RT @cpnote: Kacinich; ""some of my best friends are gay""#GOPDebates"
2903	Ted Cruz	1	yes	1	Positive	0.6786	None of the above	1		YMcglaun		580				8/7/15 9:25	6.30E+17				RT @tedcruz: A little #GOPDebate prep with my two best advisers. #CruzCrew http://t.co/nICXayCSI4 http://t.co/fA4EQQhFW1
9616	Ted Cruz	0.2457	yes	0.6897	Positive	0.3563	None of the above	0.2457		StellaLuna65		4				8/6/15 20:18	6.29E+17				RT @MeanProgress: .@tedcruz America won't move forward til we admit a problem with #RadicalChristianTerrorismhttp://t.co/onOzzeWI2s#Uni…
1325	No candidate mentioned	1	yes	1	Positive	0.3483	Immigration	0.6517		jayoung1892		39				8/7/15 9:42	6.30E+17	"The Omni Hotel in New Haven, C"			RT @adamslily: Here's your contrast. #GOPDebate http://t.co/lXaX6wuUnj
11734	Donald Trump	1	yes	1	Negative	0.6829	FOX News or Moderators	1		yarbbla		68				8/6/15 19:31	6.29E+17				"RT @RWSurferGirl: I am wondering what Fox is up to with THIS debate -- get rid of Trump, Paul, Cruz, Carson? 🇺🇸 #GOPDebates #GOPDebate"
11226	No candidate mentioned	1	yes	1	Positive	1	Foreign Policy	0.6559		BigBoyBaker		0				8/6/15 19:40	6.29E+17	"Indiana, U.S.A."	Eastern Time (US & Canada)		Loved that Carly Fiorina said one of her first two phones would be to Bibi in Israel. #GOPDebates
9277	No candidate mentioned	0.5073	yes	0.7122	Negative	0.7122	FOX News or Moderators	0.5073		prprincesscm		120				8/6/15 20:40	6.29E+17				RT @RWSurferGirl: Why doesn't Chris Wallace ask the other politicans about their finances and where their money comes from? 🇺🇸 #GOPDebate …
1552	Donald Trump	1	yes	1	Negative	1	None of the above	1		startingupBSTN		0				8/7/15 9:40	6.30E+17	Boston			Did Trump Implode in #FOXdebate? Special new @hlcpodcast #GOPdebate edition http://t.co/HEYhWpWUWx #mapoli #nhpolitics #mepolitics #trump
6131	No candidate mentioned	0.3997	yes	0.6322	Negative	0.6322		0.2325		blogbooktours		1				8/7/15 8:24	6.30E+17	Blog http://bit.ly/brpnews	Tehran		Lindsey Graham has never met a war he's afraid to send your kids to. #gopdebate via @JohnFugelsang #FF
12689	Rand Paul	1	yes	1	Neutral	0.625	None of the above	1		Republikim1		0				8/6/15 19:17	6.29E+17		Pacific Time (US & Canada)		"How is #Rand ""a Reagan conservative?"" #GOPDebates"
5589	No candidate mentioned	1	yes	1	Neutral	0.7065	None of the above	1		DoctorAusburne		0				8/7/15 8:33	6.30E+17	northern california	Pacific Time (US & Canada)		"""Can you introduce me as the son of Reagan's Vice President?"" #GOPDebate"
5076	No candidate mentioned	1	yes	1	Negative	0.6344	None of the above	1		dryanshea		0				8/7/15 8:40	6.30E+17	"Boston, MA"	Eastern Time (US & Canada)		"If you saw any tears during Jon Stewart's last night on The Daily Show, just pretend I laughed so hard I cried watching the #GOPDebate."
1124	No candidate mentioned	1	yes	1	Negative	1	FOX News or Moderators	1		el_deego		1				8/7/15 9:44	6.30E+17	Guanaco/ATLien in NYC	Eastern Time (US & Canada)		"Hey @FoxNews, why wasn't #DeflateGate a bigger talking point last night? Makes me think the whole debate was a sham. #GOPDebate #HailSatan"
11284	No candidate mentioned	1	yes	1	Neutral	0.6627	FOX News or Moderators	0.6747		cat_1012000		120				8/6/15 19:39	6.29E+17	"Midwest (NE,MO,KS)"	Central Time (US & Canada)		RT @RWSurferGirl: Why doesn't Chris Wallace ask the other politicans about their finances and where their money comes from? 🇺🇸 #GOPDebate …
114	Marco Rubio	1	yes	1	Neutral	0.6545	None of the above	0.6545		unicornmajik		46				8/7/15 9:53	6.30E+17	Arizona	Arizona		"RT @AmyMek: ""God has blessed the Republican party with many great candidates, @TheDemocrats can't even find one"" - @marcorubio #GOPDebate"
506	Marco Rubio	0.3872	yes	0.6222	Positive	0.6222	None of the above	0.3872		jreyes_6		0				8/7/15 9:50	6.30E+17	"San Antonio, Texas"	Eastern Time (US & Canada)		Really thought @marcorubio had a solid performance last night! #GOPDebate
2705	No candidate mentioned	1	yes	1	Negative	1	FOX News or Moderators	1		JaysWorldLive		0				8/7/15 9:27	6.30E+17	"Tamap, FL"	Eastern Time (US & Canada)		#GOPDebate Did #foxnews actually ask a political issue question last night?
4968	No candidate mentioned	1	yes	1	Neutral	0.652	None of the above	1		TheSetianLord		16				8/7/15 8:42	6.30E+17		Central Time (US & Canada)		RT @mdiannone: Not watching th #GOPDebate. I'll just catch the highlights on Monday from Jon Stewa- ohh . :(
2160	Ted Cruz	1	yes	1	Positive	1	None of the above	1		BamaStephen		1				8/7/15 9:33	6.30E+17	Alabama 	Central Time (US & Canada)		RT @MN2A4ASupporter: With first debate over . hands down @TedCruz is my pick for President! #GOPDebate http://t.co/g0jq1Y53bo
9472	No candidate mentioned	1	yes	1	Negative	1	FOX News or Moderators	1		WisdomWithTime		157				8/6/15 20:24	6.29E+17		Quito		"RT @RWSurferGirl: It is very disappointing that Fox News is not conducting a ""Fair &amp; Balanced"" Debate. 🇺🇸 #GOPDebate #GOPDebates"
7831	No candidate mentioned	1	yes	1	Negative	1	FOX News or Moderators	1		TassajaraRd		1				8/7/15 8:57	6.30E+17	"Jamesburg, Ca."			RT @RolfHarris65: #GOPDebate RWNJs are all upset at Fox for not lobbing softballs at their favorites. Bunch of babies.
8539	Donald Trump	1	yes	1	Positive	0.6333	FOX News or Moderators	0.6444		RealRyanSipple		72				8/7/15 0:08	6.30E+17	World Wide 	Central Time (US & Canada)		"RT @larryelder: Trump should have said, ""Megyn, ask these nine candidates, if they plan to support ME when I win the nomination.""#GOPDebat…"
1529	No candidate mentioned	0.4171	yes	0.6458	Negative	0.6458	None of the above	0.4171		Webb_MeredithJ		0				8/7/15 9:40	6.30E+17	Chicago			Most depressing thing about #GOPDebate is that there will be no Jon Stewart on @TheDailyShow to make us laugh through the tears #JonVoyage
12176	Jeb Bush	1	yes	1	Negative	1	Women's Issues (not abortion though)	1		DrAriafya		0				8/6/15 19:25	6.29E+17	GFFA	Pacific Time (US & Canada)		So basically fuck women is what Jeb says #GOPDebates
9979	Rand Paul	1	yes	1	Positive	1	None of the above	1		ywamnate		0				8/6/15 20:04	6.29E+17	USA	Pacific Time (US & Canada)		Rand Paul and Marco Rubio seem like viable options. #GOPdebates
1296	No candidate mentioned	1	yes	1	Negative	0.3409	Gun Control	1		elvislver56		13				8/7/15 9:43	6.30E+17	"Garden Grove, Ca"			"RT @shannonrwatts: Thanks to #NRA influence, Congress slashed CDC funding for gun violence research #GOPDebate #gunsense"
1964	No candidate mentioned	0.4298	yes	0.6556	Neutral	0.6556	Gun Control	0.4298		GoodTwitty		33				8/7/15 9:35	6.30E+17	State of Mind	Atlantic Time (Canada)		"RT @shannonrwatts: The average cost to U.S. taxpayers for a single gun homicide is nearly $400,000 #GOPDebate #gunsense"
6773	Donald Trump	1	yes	1	Negative	0.6596	None of the above	1		gblundquist		0				8/7/15 8:15	6.30E+17	"Oakdale, MN"	Central Time (US & Canada)		Can Donald trump be in the democratic debate too? #GOPDebate #entertainment
4172	No candidate mentioned	0.5045	yes	0.7103	Neutral	0.3551	Abortion	0.5045		Alexrealtorpbc		0				8/7/15 9:10	6.30E+17	Boca Raton Fl			#GOPDebate so #PlannedParenthood is the right's new Big bird ..
4930	Jeb Bush	1	yes	1	Negative	1	Women's Issues (not abortion though)	1		ErikMortensen4		1				8/7/15 8:43	6.30E+17	"Houston, TX"			RT @AtypicalArts: RT @micnews: Jeb Bush defunded Planned Parenthood and now Florida ranks last for women’s health http://t.co/Rq6zkuqK7B #…
9006	John Kasich	0.6818	yes	1	Positive	0.3661	None of the above	1		stephgracenola		4				8/6/15 21:14	6.30E+17	"New Orleans, LA"	Central Time (US & Canada)		"RT @Will_Bunch: So smart of Kasich to say, essentially, ""I hear the concerns of Trump voters except that I'm sane"" #GOPDebates"
11384	Donald Trump	1	yes	1	Neutral	0.6417	None of the above	1		Jill_Castellano		0				8/6/15 19:37	6.29E+17	New York	Atlantic Time (Canada)		.@nickconfessore is right. There are 2 #GOPDebates: the boring one &amp; one where Trump pretends he's still on the apprentice &amp; runs the show
1179	No candidate mentioned	1	yes	1	Negative	0.6667	FOX News or Moderators	0.6771		paolo44444		0				8/7/15 9:44	6.30E+17		Ljubljana		"On social media conservatives expressed outrage at @megynkelly and @FoxNews for #GOPDebate ""friendly fire"" questionshttp://t.co/Vpa9RIycA0"
12235	Donald Trump	1	yes	1	Negative	1	FOX News or Moderators	1		mrlogical1420		134				8/6/15 19:24	6.29E+17	"Pittsburgh, PA"			RT @RWSurferGirl: The candidates don't have to attack @realDonaldTrump Fox is doing it for them by stoping him from speaking. 🇺🇸 #GOPDebate…
12231	Donald Trump	0.3923	yes	0.6264	Negative	0.3297	FOX News or Moderators	0.3923		Twarren25		134				8/6/15 19:24	6.29E+17	SB California			RT @RWSurferGirl: The candidates don't have to attack @realDonaldTrump Fox is doing it for them by stoping him from speaking. 🇺🇸 #GOPDebate…
11185	Jeb Bush	1	yes	1	Negative	0.6591	FOX News or Moderators	1		JRpolitirants		153				8/6/15 19:41	6.29E+17	"Houston, TX"			RT @RWSurferGirl: Fox is cherry picking the candidates. Jeb gets the softball questions. 🇺🇸 #GOPDebates #GOPDebates
5606	No candidate mentioned	1	yes	1	Negative	0.6194	None of the above	0.6903		BACFA		2				8/7/15 8:32	6.30E+17	"Obamapocalypso, North Mexico"	Eastern Time (US & Canada)		RT @JavaJoeX: @CarlyFiorina won both debates and then tingled on Chris Matthews #GOPDebate
11605	Mike Huckabee	0.2256	yes	0.6562	Neutral	0.3438	None of the above	0.2256		CarolFoster13		155				8/6/15 19:34	6.29E+17				RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. 🇺🇸 #GOPDebate #GOPDebates
9376	No candidate mentioned	1	yes	1	Positive	1	None of the above	1		taylor_sexton1		66				8/6/15 20:31	6.29E+17	living with my demons	Arizona		RT @DonnieWahlberg: Enjoyed the #GOPDebates and am looking forward to the #DemocraticDebates next.
7146	No candidate mentioned	1	yes	1	Negative	0.6824	FOX News or Moderators	1		mtranquilnight		1				8/7/15 8:09	6.30E+17	The Scion of San Diego	Arizona		#GOPDebate really captured the schism b/t Fox News' very professional production design team &amp; intellectual dimwit (but entertaining) hosts.
3663	No candidate mentioned	0.4276	yes	0.6539	Positive	0.3375		0.2263		alexandraheuser		1				8/7/15 9:16	6.30E+17	America			#FF WHOA (WEIRD format -Any1 know about this?) https://t.co/Np8CjQWYJi #GOPDebate #GOP #RNC @Reince @rushlimbaugh @kilmeade #FoxNews #TCOT
4147	No candidate mentioned	1	yes	1	Negative	1	FOX News or Moderators	1		saltusmed		0				8/7/15 9:10	6.30E+17	Northern Virginia	Quito		"@riley1999 @megynkelly is a closet democrat; actually, after the #GOPDebate she's come out of the closet #KellyFile #KellyFailed"
9125	Rand Paul	1	yes	1	Neutral	0.6337	None of the above	1		Sagie78		5				8/6/15 20:55	6.30E+17	a blue state 	Eastern Time (US & Canada)		"RT @SupermanHotMale: No, Rand Paul does not have a budget, he has budgets multiple sets of books? Yep #GopDebates"
5952	No candidate mentioned	1	yes	1	Negative	1	None of the above	1		Melindacricket		0				8/7/15 8:27	6.30E+17	"California, USA"			#GOPDebate all those men are insane- climate change!!!!!!!!! https://t.co/6xqHWqf2NU
11240	Donald Trump	0.444	yes	0.6663	Neutral	0.6663	None of the above	0.444		pacsgirl36		72				8/6/15 19:40	6.29E+17	"New York, USA"	Eastern Time (US & Canada)		RT @RWSurferGirl: You would never know @realDonaldTrump is the frontrunner from watching this debate. 🇺🇸 #GOPDebate #GOPDebates
7602	Marco Rubio	0.6633	yes	1	Neutral	0.6633	Immigration	1		DontTakeLosses		0				8/7/15 8:02	6.30E+17	"Arizona, USA"	Eastern Time (US & Canada)		"To get my vote, MUST pledge to close that damn border, require e-verify. Work visas ok. #GOPDebate  https://t.co/Agt306huA2"
8645	No candidate mentioned	1	yes	1	Negative	1	FOX News or Moderators	1		nsaidian		142				8/6/15 23:01	6.30E+17	USA			RT @RWSurferGirl: We the American people pick the next President of United States not FOX News 🇺🇸 #GOPDebate #GOPDebates
10925	No candidate mentioned	0.4237	yes	0.6509	Negative	0.6509	None of the above	0.2317		ElyssaJechow		0				8/6/15 19:46	6.29E+17	"New York, NY"	Central Time (US & Canada)		We looooooove violence and the military and intimidating people #GOPDebates
6865	No candidate mentioned	1	yes	1	Neutral	1	None of the above	1		vivian_terry		0				8/7/15 8:13	6.30E+17				#GOPDebate being Politically Correct has nothing to do with Bad Manners.
1850	Donald Trump	1	yes	1	Negative	1	None of the above	1		LarryPDonnelly		0				8/7/15 9:36	6.30E+17				This is that rare instance when I have to agree with @IAMMGraham. @realDonaldTrump's performance in the #GOPDebate will hurt him. @ghook
8309	Donald Trump	1	yes	1	Positive	1	None of the above	1		JagGluck		1				8/7/15 4:55	6.30E+17		Atlantic Time (Canada)		RT @kwrcrow: Congrats to @realDonaldTrump for your win in #GOPDebates polling last night. @Time @DRUDGE_REPORT Well done Sir! http://t.co/n…
1290	No candidate mentioned	0.4536	yes	0.6735	Neutral	0.3367	Immigration	0.4536		EusebiaAq		0				8/7/15 9:43	6.30E+17	America	Eastern Time (US & Canada)		@dooley_dooley Who's the real illegal alien #GOPDebate - Farrakhan on Immigration &amp; the Mexican Bor https://t.co/lkLfFN2LFy via @YouTube
11914	Ted Cruz	1	yes	1	Positive	1	None of the above	1		alwaysdaddygirl		65				8/6/15 19:29	6.29E+17	 MI	Eastern Time (US & Canada)		RT @Lrihendry: #TedCruz headed into the Presidential Debates. GO TED!! #GOPDebates http://t.co/8S67pz8a4A
10718	No candidate mentioned	0.4741	yes	0.6885	Negative	0.6885	FOX News or Moderators	0.4741		JaniceMontalto		9				8/6/15 19:50	6.29E+17	St Pete Florida	Eastern Time (US & Canada)		"RT @cat_1012000: Thanks @FoxTV for holding the #GOPDebates Now millions of people KNOW you're no better or balanced then MSN, ABC, CBS #…"
581	No candidate mentioned	1	yes	1	Negative	0.6966	None of the above	1		sandphillips		0				8/7/15 9:50	6.30E+17	USA and proud of it.			"#GOPDebate #Hillary2016 I share some sentiments, I have some favorites on #GOP side, but I have no enthusiasm, don't want to vote for any."
6409	No candidate mentioned	1	yes	1	Negative	1	Religion	1		Torold_Time		1				8/7/15 8:20	6.30E+17	CT	Central Time (US & Canada)		RT @TheIdleTeen: Why did she mention God? The last time I checked in THE CONSTITUTION it said there must be separation of church and state.…
9041	No candidate mentioned	1	yes	1	Negative	1	FOX News or Moderators	1		brian263murphy		142				8/6/15 21:05	6.30E+17	"Georgia, USA"			RT @RWSurferGirl: We the American people pick the next President of United States not FOX News 🇺🇸 #GOPDebate #GOPDebates
9800	No candidate mentioned	0.6338	yes	1	Negative	0.6338	FOX News or Moderators	1		LuanneCarey		120				8/6/15 20:10	6.29E+17		Eastern Time (US & Canada)		RT @RWSurferGirl: Why doesn't Chris Wallace ask the other politicans about their finances and where their money comes from? 🇺🇸 #GOPDebate …
8620	No candidate mentioned	1	yes	1	Negative	0.6778	Religion	1		parn123		14				8/6/15 23:11	6.30E+17	#Uzes - St Quentin la Poterie	Paris		RT @monaeltahawy: TwitterLand: has God spoken to you about the #GOPDebates? What did she say?
4603	No candidate mentioned	0.4818	yes	0.6941	Negative	0.3647	None of the above	0.4818		skyallred		1				8/7/15 8:47	6.30E+17	"Fort Worth, Texas"	America/Chicago		RT @fw4bernie: During the #GOPDebate last night. #DebateWithBernie #Bernie2016 http://t.co/bvf2NtRAuV
3258	Donald Trump	1	yes	1	Negative	0.6782	Women's Issues (not abortion though)	0.6782		GlobalPolitico		0				8/7/15 9:21	6.30E+17	London			Donald Trumps attack on Megyn Kelly prove her point for her that he has a woman problem. Unless they like him he attacks them. #GOPDebate
5112	No candidate mentioned	1	yes	1	Positive	0.6613	None of the above	0.6774		amingardi		0				8/7/15 8:40	6.30E+17		Rome		"#CamillePaglia on #GOPdebate (sadly, I agree with most she says) http://t.co/nrUgsn3XIu via @thr"
10325	Donald Trump	1	yes	1	Negative	0.6932	None of the above	0.6932		Psalm11813		94				8/6/15 19:57	6.29E+17				RT @RWSurferGirl: Why should @realDonaldTrump pledge support to the GOP when the establishment sold out to Obama? #GOPDebate #GOPDebates 🇺🇸
5133	No candidate mentioned	1	yes	1	Negative	0.6559	None of the above	1		Glendaliz		0				8/7/15 8:39	6.30E+17	La Gran Manzana	Eastern Time (US & Canada)		"Slept 10 hrs last night, right through the #GOPDebate Judging from tweets, that was very beneficial to my health."
11872	Jeb Bush	1	yes	1	Negative	0.7021	None of the above	1		RobsRamblins		0				8/6/15 19:29	6.29E+17		Arizona		"Yup he ""Unites"" ppl.-he's a uniter. JEB. #GOPDebates"
3557	No candidate mentioned	1	yes	1	Negative	1	None of the above	1		AssegaiGibson		0				8/7/15 9:17	6.30E+17	Elysium			The #GOPDebate was akin to watching institutional crazies talk about what they'll do after they take over the insane Asylum. #Republican
3315	No candidate mentioned	1	yes	1	Negative	1	None of the above	1		ericbischoff		0				8/7/15 9:20	6.30E+17	"Glen Cove, Long Island, NY"	Eastern Time (US & Canada)		#GOPDebate Why Pretend Hilary only Democrat Running? Obviously You're All More Afraid of Having to Debate Bernie Sanders!
2214	Mike Huckabee	1	yes	1	Negative	1	Women's Issues (not abortion though)	1		delcastillo81		803				8/7/15 9:33	6.30E+17	near a phone charger	Eastern Time (US & Canada)		RT @puddinstrip: heres a photo of a puppy eating a shoe to take your mind off Mike Huckabee talking about a womans vagina #GOPDebate http:/…
6833	Donald Trump	1	yes	1	Negative	1	None of the above	1		LyndonEvansCT		0				8/7/15 8:14	6.30E+17	"Danbury, CT"	Eastern Time (US & Canada)		#DonaldTrumpforPresident in the #GOPDebate proves he's a neanderthal http://t.co/BGySqOiv3K #WhatILearnedToday #BitchyOldQueen @HeidiVoight
6694	Marco Rubio	1	yes	1	Positive	0.6923	None of the above	0.6593		carriesheffield		1				8/7/15 8:16	6.30E+17	New York City	Eastern Time (US & Canada)		#GOPDebate Econ @MarcoRubio won @JebBush falters @GovMikeHuckabee exaggerates @GovChristie Good idea #SocialSecurity http://t.co/rJk8S4Hd6F
10281	No candidate mentioned	1	yes	1	Negative	0.6673	Religion	1		Ben_M_Berry		29				8/6/15 19:57	6.29E+17	"Northampton, MA"	Eastern Time (US & Canada)		RT @monaeltahawy: Has any candidate received a word from God?! Presidential hopefuls?! This is America?! Christian Brotherhood of America #…
12392	No candidate mentioned	1	yes	1	Negative	1	None of the above	1		jennysalt_		11				8/6/15 19:22	6.29E+17	Chicago	Central America		RT @SupermanHotMale: Pres Obama has more brains in his little toe than all you totally fucking idiots have in your whole families combined …
11163	No candidate mentioned	1	yes	1	Negative	1	None of the above	1		jasper_deezy		0				8/6/15 19:42	6.29E+17				This Roast of Hilary Clinton needs Jeff Ross #GOPDebates
9822	John Kasich	1	yes	1	Negative	0.6535	None of the above	0.6966		Jeorge2728		2				8/6/15 20:09	6.29E+17				"RT @SupermanHotMale: Dear John Kasich, Beat your Republican friends with a gay tree branch : ) #GopDebates"
2321	No candidate mentioned	0.6772	yes	1	Negative	1	None of the above	0.6772		PuestoLoco		2				8/7/15 9:31	6.30E+17	Florida Central West Coast	America/New_York		.@paolo_sfFOX/GOP Party's Hunger Games- Demagog Food-fighter @CarlyFiorina#GOPDebate #morningjoe http://t.co/ygMGbAvqut
8421	Chris Christie	1	yes	1	Negative	1	Foreign Policy	0.6404		pbbing247		48				8/7/15 2:34	6.30E+17	DALLAS TX-HOME OF THE COWBOYS	Central Time (US & Canada)		RT @RWSurferGirl: Tonight we learned that @GovChristie thinks he can remove our civil rights to fight terrorism. #GOPDebate #GOPDebates
6316	Jeb Bush	0.4444	yes	0.6667	Negative	0.3434	None of the above	0.4444		Watchdogsniffer		8				8/7/15 8:21	6.30E+17	"San Diego, CA USA"	Pacific Time (US & Canada)		"RT @climatebrad: .@JebBush's Million-Dollar Donors, updated thx to @zachmider http://t.co/K3BcdnUTM0 #GOPDebate http://t.co/qdiwcwNQY0"
11916	No candidate mentioned	1	yes	1	Negative	0.6433	Religion	0.7134		zijital		3				8/6/15 19:29	6.29E+17	Chicago			"RT @TheRachelFisher: You guys, separation of church and state is also in the constitution.#GOPDebates"
