id	candidate	candidate_confidence	relevant_yn	relevant_yn_confidence	sentiment	sentiment_confidence	subject_matter	subject_matter_confidence	candidate_gold	screen_name	relevant_yn_gold	retweet_count	sentiment_gold	subject_matter_gold	tweet_coord	tweet_created	tweet_id	tweet_location	user_timezone		text
174	Donald Trump	1	yes	1	Negative	1	None of the above	0.6211		justanothersnl		11				8/7/15 9:53	6.30E+17	with Carmen Sandiego	Eastern Time (US & Canada)		RT @oftenimprudent: I wish we could teach teenage girls to love themselves as much as Donald Trump loves himself. #GOPdebate
175	No candidate mentioned	1	yes	1	Negative	1	None of the above	0.6421		unicornmajik		163				8/7/15 9:53	6.30E+17	Arizona	Arizona		RT @AmyMek: Conservatives are a people without a Network! #GOPDebate @FoxNews
176	No candidate mentioned	1	yes	1	Negative	1	None of the above	1		rwyckoff46		1447				8/7/15 9:53	6.30E+17	"Brattleboro, VT"	Eastern Time (US & Canada)		RT @BHowl_: How come there's no talk about climate change? Has anyone here even seen California right now? #GOPDebate #DebateWithBernie
177	No candidate mentioned	1	yes	1	Neutral	1	None of the above	1		jojo21		4				8/7/15 9:53	6.30E+17	"Ellicott City, Maryland"	Eastern Time (US & Canada)		RT @travisconsidine: .@GovernorPerry #GOPDebate Performance Review-Reel: https://t.co/o5QUROZbku #Perry2016
178	No candidate mentioned	1	yes	1	Negative	1	None of the above	0.3441		ThadM44		16				8/7/15 9:53	6.30E+17	Pennsylvania			"RT @ChrisJZullo: Last night they could have have raised their hands. I'm a spoiled billionaire, I'm an oligarch, I'm a racist, I'm a religi…"
179	Ben Carson	1	yes	1	Positive	1	None of the above	1		mmprnews		0				8/7/15 9:53	6.30E+17	"Florida, USA"	Eastern Time (US & Canada)		"#GOPDebate 2016 #teamdrbencarson @RealBenCarson WOW! Brilliant, Cool, Calm &amp; Collected.#empowering"
180	Ted Cruz	0.4805	yes	0.6932	Neutral	0.3636	FOX News or Moderators	0.4805		peaceischrist		48				8/7/15 9:53	6.30E+17	Washington State			"RT @SooperMexican: Ted Cruz doesn't appreciate your emphatically sarcastic air quotes, megan kelly. #GOPDebate"
181	No candidate mentioned	1	yes	1	Negative	0.6629	Abortion	1		SableViews		7				8/7/15 9:53	6.30E+17	"rural Wisconsin, USA"	Central Time (US & Canada)		"RT @BenJamminWalker: Under no circumstances should 10 men dictate abortion rights to women. It's the 21st Century, we are better than that.…"
182	Donald Trump	1	yes	1	Positive	0.7049	None of the above	1		Samstwitch		1395				8/7/15 9:53	6.30E+17	"Fort Worth, Texas"	Central Time (US & Canada)		RT @DanScavino: #GOPDebate Winner!Drudge 50% (187K) @realDonaldTrump TIME 46% (25K) @realDonaldTrump FOXSD 49% @realDonaldTrump http://t…
183	No candidate mentioned	1	yes	1	Negative	0.6939	FOX News or Moderators	1		bittybyte		164				8/7/15 9:53	6.30E+17	the cosmos / az	Arizona		"RT @JoePrich: .@megynkelly In 2012 you chided @CandyCrowley for ""going from objective moderator to active participant"" #GOPDebate http://t…"
184	Donald Trump	1	yes	1	Negative	0.6344	None of the above	0.7097		talkbackny		0				8/7/15 9:53	6.30E+17	NYC	Quito		#GOPDebate @FoxNews @realDonaldTrump in1996 you called @billclinton a two timing slut. Do you stand by that statement!?
185	No candidate mentioned	1	yes	1	Negative	1	FOX News or Moderators	0.6629		helenehrenhofer		16				8/7/15 9:53	6.30E+17		Central Time (US & Canada)		RT @renomarky: ☑ never watch #KellyFile again1. #GOPDebate questions 2. Pandering to @DWStweets 3. Making it about ratings not🇺🇸 http:/…
186	Marco Rubio	1	yes	1	Positive	0.6562	None of the above	1		KevsKreations		0				8/7/15 9:53	6.30E+17		America/Los_Angeles		IMHO #GOPDebate winners #MarcoRubio #Kasich #DonaldTrump Losers #ScottWalker #RandPaul #BenCarson All others were completely forgettable
187	John Kasich	1	yes	1	Positive	0.3646	None of the above	0.6354		kevinburger72		63				8/7/15 9:53	6.30E+17		Central Time (US & Canada)		RT @JohnKasich: SMALLER GOVT: Ohio government payroll is smaller than it's been in 3 decades. http://t.co/IGfIF4J1TT #GOPDebate http://t.co…
188	No candidate mentioned	1	yes	1	Neutral	0.6588	Racial issues	0.3412		DonaldJChump		24				8/7/15 9:53	6.30E+17	"New York, New York"	Eastern Time (US & Canada)		RT @zellieimani: Twitter Users Takeover #GOPDebate Hashtag to Drag GOP Candidates https://t.co/lMzNoMpFMW #KKKorGOP http://t.co/EWEz899A0c
189	Jeb Bush	0.681	yes	1	Negative	0.6652	None of the above	1		annasekulow		117				8/7/15 9:53	6.30E+17	"Miami, FL"	Georgetown		"RT @JebBush: ""Challenging the teacher's unions and beating them is the way to go."" – Jeb http://t.co/5ImGwdRL4G #GOPDebate"
190	No candidate mentioned	1	yes	1	Neutral	0.3773	None of the above	0.6899		golden_claud		741				8/7/15 9:53	6.30E+17	Texas State University 			RT @billyeichner: Thank you all for watching the #GOPDebate tonight. @julieklausner and I had a blast writing it.
191	Donald Trump	0.4768	yes	0.6905	Negative	0.6905	Women's Issues (not abortion though)	0.4768		amapes3		0				8/7/15 9:53	6.30E+17				@theblaze The REAL war on women!@realDonaldTrump @megynkelly @rushlimbaugh #GOPDebate @AnnCoulter
192	No candidate mentioned	1	yes	1	Neutral	1	None of the above	1		jojo21		37				8/7/15 9:53	6.30E+17	"Ellicott City, Maryland"	Eastern Time (US & Canada)		"RT @GovernorPerry: .@GovernorPerry's ""On Fire"" Debate Performance https://t.co/aRmJN6vwPG #GOPDebate #Perry2016 #tcot"
193	No candidate mentioned	1	yes	1	Neutral	0.6937	Abortion	0.6937		dalenleavy		234				8/7/15 9:53	6.30E+17	Florida ✈ ️New York	Eastern Time (US & Canada)		RT @blowticious: Pro-life Republicans be like #GOPDebate http://t.co/bIOXOpLEjn
194	No candidate mentioned	1	yes	1	Neutral	1	Immigration	0.6854		jojo21		40				8/7/15 9:53	6.30E+17	"Ellicott City, Maryland"	Eastern Time (US & Canada)		RT @GovernorPerry: ICYMI: @GovernorPerry on Border Security/Illegal Immigration #GOPDebate #Perry2016 #tcot https://t.co/1S25d2D0nK
195	Donald Trump	1	yes	1	Negative	0.6941	FOX News or Moderators	0.6941		CaptainDoone		1				8/7/15 9:53	6.30E+17	York			RT @AllThingsFlynn: This Trump vs. Fox News conflict is quite the conundrum. It’s like the personification of Greed vs. Hate. Who do I root…
196	No candidate mentioned	1	yes	1	Positive	0.6742	None of the above	1		orphan1111		373				8/7/15 9:53	6.30E+17	Il USA	Eastern Time (US & Canada)		RT @CarlyFiorina: I know how extraordinary this nation is. #GOPDebate
197	No candidate mentioned	1	yes	1	Negative	0.6966	None of the above	1		patteecakes9		728				8/7/15 9:53	6.30E+17	"Inkster, MI"	Eastern Time (US & Canada)		"RT @LAXnOREOS: Meanwhile, in the White House #GOPDebate http://t.co/mFs7ixFOVC"
198	Marco Rubio	0.4218	yes	0.6495	Positive	0.6495	None of the above	0.4218		derekflynch		0				8/7/15 9:53	6.30E+17		Dublin		"#rubio still my preference but i can see point of his critics over opportunism, inconsistency #gopdebate"
199	Donald Trump	1	yes	1	Positive	0.3529	FOX News or Moderators	1		Animal1984Farm		0				8/7/15 9:53	6.30E+17	TX	Mountain Time (US & Canada)		Did @realDonaldTrump ever tell @megynkelly to go wait in the car? Her bad attitude suggests it. #WarOnWomen #GOPDebate
200	No candidate mentioned	0.4649	yes	0.6818	Positive	0.6818	None of the above	0.4649		jojo21		9				8/7/15 9:53	6.30E+17	"Ellicott City, Maryland"	Eastern Time (US & Canada)		"RT @TheTexasPhoenix: He was on fire! .@GovernorPerry's ""On Fire"" Debate Performance: https://t.co/0A1w02w7SZ #GOPDebate #Perry2016"
201	No candidate mentioned	1	yes	1	Neutral	1	None of the above	1		LaffertyRowena		27				8/7/15 9:53	6.30E+17		Eastern Time (US & Canada)		RT @Playing_Dad: Settling in for the #GOPDebate http://t.co/W6W3e5NBOa
202	No candidate mentioned	1	yes	1	Negative	1	FOX News or Moderators	1		emctsprime		768				8/7/15 9:53	6.30E+17	Earth: Senseless nonsense	Pacific Time (US & Canada)		"RT @realDonaldTrump: ""@FrankLuntz: I'm getting a lot of @MegynKelly hatemail tonight. 😆 #GOPDebate"" She is totally overrated and angry. She…"
203	No candidate mentioned	0.4444	yes	0.6667	Negative	0.6667	None of the above	0.4444		KateThomas		1				8/7/15 9:53	6.30E+17	"Washington, DC"	Eastern Time (US & Canada)		"This literally couldn't be more true for me. ""I Watched the #GOPDebate &amp; All I Got Was a Lousy Hangover"" http://t.co/cxch7Xxq1V @robinmarty"
204	No candidate mentioned	1	yes	1	Negative	0.3721	FOX News or Moderators	0.6279		sekundenklange		0				8/7/15 9:53	6.30E+17		Mountain Time (US & Canada)		#JonVoyage was half as long as the #GOPDebate but twice as intelligible.
205	No candidate mentioned	1	yes	1	Negative	1	None of the above	1		ThadM44		19				8/7/15 9:53	6.30E+17	Pennsylvania			RT @LisaBloom: Not a single question in last night's #GOPDebate about the most urgent issue of our time: climate change.
206	No candidate mentioned	1	yes	1	Negative	0.6782	FOX News or Moderators	1		healthylaugh		0				8/7/15 9:53	6.30E+17	Left Coast (bankrupt cities)	Pacific Time (US & Canada)		"#GOPDebate What was up with #FoxNews &amp; their ""gotcha"" questions? They seemed designed to elicit typical political ""spin"" responses. #tlot"
207	No candidate mentioned	1	yes	1	Positive	1	None of the above	1		ZConine		0				8/7/15 9:53	6.30E+17	"Las Vegas, NV"	Pacific Time (US & Canada)		After the #GOPDebate all of the promises being made by startups at this tech conference seem quite reasonable.
208	Donald Trump	0.3991	yes	0.6318	Negative	0.6318		0.2326		JimKach		10				8/7/15 9:53	6.30E+17	The Shire	Bogota		RT @Roy___Rogers: @KnucklDraginSam @GOP @realDonaldTrump @yobynnad1127 AMEN! #Trump2016 #WakeUpAmerica #GOPDebate #tcot #stoprush http://t.…
209	No candidate mentioned	0.4453	yes	0.6673	Neutral	0.6673	None of the above	0.2487		orphan1111		1024				8/7/15 9:53	6.30E+17	Il USA	Eastern Time (US & Canada)		RT @CarlyFiorina: The highest calling of leadership is to challenge the status quo &amp; unlock potential in others. #GOPDebate. #Carly2016
210	Donald Trump	1	yes	1	Negative	0.6941	None of the above	1		deargwynevere		4				8/7/15 9:53	6.30E+17		Mountain Time (US & Canada)		RT @zzcrane: Me watching the Donald Trump bandwagon pass. #tlot #tcot #GOPDebate http://t.co/wvQlSxgmCL
211	No candidate mentioned	0.4495	yes	0.6705	Negative	0.6705	FOX News or Moderators	0.2286		Mahhhlon		1000				8/7/15 9:53	6.30E+17	Southern California	Pacific Time (US & Canada)		"RT @deray: Before the #GOPDebate began, didn't the moderators say that 8 million ppl were discussing ""racial issues""? What happened to thos…"
212	No candidate mentioned	1	yes	1	Negative	1	Abortion	1		eobrien2013		1773				8/7/15 9:53	6.30E+17		Eastern Time (US & Canada)		"RT @feministabulous: There's nothing like listening to ten dudes who will never need an abortion, talk about whether I should have a right …"
213	No candidate mentioned	1	yes	1	Negative	1	FOX News or Moderators	1		dudapop79		14				8/7/15 9:53	6.30E+17	earth			RT @SenWhitehouse: FOX silenced by Koch billions too? Not a single question at last night's #GOPDebate to #climatechange deniers about Mond…
214	No candidate mentioned	0.4444	yes	0.6667	Negative	0.6667	Jobs and Economy	0.4444		keepalxne		38				8/7/15 9:53	6.30E+17	Canada	Central Time (US & Canada)		"RT @tyriquex: These republicans are rich, they don't care about the poverty of America &amp; they definitely don't care bout the poverty of bla…"
215	No candidate mentioned	1	yes	1	Neutral	1	None of the above	0.6824		guilprickette		0				8/7/15 9:53	6.30E+17	"Anchorage, Alaska"	America/Anchorage		"So we just had an office chat about the #GOPDebate, &amp; I was outed as both a flaming liberal and a politics geek. Probably not surprising."
216	No candidate mentioned	0.4444	yes	0.6667	Negative	0.3438	None of the above	0.4444		januaryannie		0				8/7/15 9:53	6.30E+17	B.C. Canada	Quito		Catching up on my #GOPDebate @LindseyGrahamSC what a childish &amp; cheap move to call out @billclinton &amp; @HillaryClinton on a 17 year old story
217	No candidate mentioned	1	yes	1	Neutral	0.6429	None of the above	1		durr_01		27				8/7/15 9:53	6.30E+17				RT @TomHall: The only thing that could've made last night's #GOPDebate more amusing would have been:#CowBells!#MoreCowBells http://t.co…
218	Ted Cruz	1	yes	1	Negative	1	None of the above	1		jojo21		10				8/7/15 9:53	6.30E+17	"Ellicott City, Maryland"	Eastern Time (US & Canada)		RT @kesgardner: All Ted Cruz does is attack other Republicans. #GOPDebate
219	No candidate mentioned	0.4588	yes	0.6774	Negative	0.6774	Foreign Policy	0.4588		M24Miles		176				8/7/15 9:53	6.30E+17		Central Time (US & Canada)		"RT @GovernorPerry: ICYMI: Not just no, but ""hell no"" to the #IranDeal! #GOPDebate #Perry2016 #tcot https://t.co/KqhJdJCGWS"
220	No candidate mentioned	1	yes	1	Neutral	1	None of the above	1		ProtectIllusion		151				8/7/15 9:53	6.30E+17		Mountain Time (US & Canada)		RT @FrankConniff: Hard to say who won the #GOPDebate - Bernie or Hillary?
221	Donald Trump	1	yes	1	Negative	1	None of the above	1		kevincron		64				8/7/15 9:53	6.30E+17	Alto MI	Central Time (US & Canada)		"RT @larhunter: If Donald Trump wins the election, then we'll know we're on the Biff-stole-the-almanac timeline. #GOPDebate"
222	No candidate mentioned	0.4241	yes	0.6513	Neutral	0.6513	None of the above	0.4241		orphan1111		507				8/7/15 9:53	6.30E+17	Il USA	Eastern Time (US & Canada)		RT @CarlyFiorina: Can you chip in $3 to keep the momentum going? #GOPdebate #Carly2016 https://t.co/W3mtcmR7Ze
223	Chris Christie	0.4492	yes	0.6702	Negative	0.6702	Jobs and Economy	0.2282		srt126		56				8/7/15 9:53	6.30E+17	"Maryland, USA"			RT @cenkuygur: Chris Christie just said you have to work two more years before retiring.And that you'll get tens of thousands less you paid…
224	John Kasich	0.4396	yes	0.663	Positive	0.663	None of the above	0.4396		kevinburger72		31				8/7/15 9:53	6.30E+17		Central Time (US & Canada)		"RT @JohnKasich: John Kasich is ready to lead. Join the team, Claire!: http://t.co/dy8KnZ122T #GOPDebate https://t.co/KnWmIDeqtY"
225	No candidate mentioned	1	yes	1	Negative	1	FOX News or Moderators	1		Jo_Kyle		177				8/7/15 9:53	6.30E+17	Realville			RT @edwrather: The biggest losers in the debate were the Fox moderators who attacked instead of moderating #GOPDebate
226	Donald Trump	1	yes	1	Negative	1	None of the above	1		jojo21		22				8/7/15 9:53	6.30E+17	"Ellicott City, Maryland"	Eastern Time (US & Canada)		"RT @WhitneyNeal: Trump has yet to give a single, evidence-based answer to a direct question about policy. That should frighten you. #GOPDeb…"
227	No candidate mentioned	0.3787	yes	0.6154	Neutral	0.6154		0.2367		JenGranholm		0				8/7/15 9:53	6.30E+17	"Oakland, California"	Pacific Time (US & Canada)		On my way to the studio -- about to appear on @CNN to discuss last night's #GOPDebate. Tune in!
228	No candidate mentioned	0.4594	yes	0.6778	Negative	0.6778	Women's Issues (not abortion though)	0.241		FloydThursby1		11				8/7/15 9:53	6.30E+17				RT @Blkfeminst: I honestly think sometimes these guys forgot they came from wombs too. #KKKorGOP #GOPDebate https://t.co/FO3a6DXflf
229	No candidate mentioned	1	yes	1	Negative	1	Abortion	1		Deb_Libby		8				8/7/15 9:53	6.30E+17	East coast	Eastern Time (US & Canada)		RT @GrnEyedMandy: Women who shame other women for having abortions deserve to be shamed for having no soul or self respect. #PlannedParen…
230	No candidate mentioned	0.4444	yes	0.6667	Neutral	0.3548	None of the above	0.4444		prettymuchacat		2				8/7/15 9:53	6.30E+17	under your creaky floorboards			RT @AmandaJoGomez: Me: *watches the #GOPDebate *Me: *looks directly into the camera like I'm on The Office*
231	Donald Trump	1	yes	1	Negative	0.3409	None of the above	1		ChizzleDubble		8				8/7/15 9:53	6.30E+17	ATL	Quito		"RT @IcarusPundit: Donald Trump’s closing statement is every dinner conversation had at The Villages, ever. #GOPDebate"
232	No candidate mentioned	1	yes	1	Negative	1	Foreign Policy	0.634		celestepewter		9				8/7/15 9:53	6.30E+17	The other New York	Eastern Time (US & Canada)		"RT @TheXclass: ""When the rich wage war it's the poor who die."" Jean-Paul Sartre This is now GOP foreign policy. #GOPDebate"
233	No candidate mentioned	1	yes	1	Negative	0.6889	Racial issues	0.6889		adv_project		0				8/7/15 9:53	6.30E+17	"Washington, DC"	Eastern Time (US & Canada)		"At the #GOPDebate, we saw the candidates completely miss the mark on race &amp; #BlackLivesMatterhttp://t.co/K9nhdpUE32 http://t.co/hlcqpXJzru"
234	No candidate mentioned	1	yes	1	Negative	1	Jobs and Economy	1		Spence4782		1				8/7/15 9:53	6.30E+17	"Lawton, Oklahoma"			RT @SeaBassThePhish: S/O to the GOP for being proud of defeating teachers union even though they just wanted higher wages #GOPDebate
235	Donald Trump	0.6962	yes	1	Neutral	0.6727	None of the above	0.6962		RonBasler1		65				8/7/15 9:53	6.30E+17	"California, USA"			RT @Writeintrump: Obama better not leave his prayer rug behind in the Oval Office when I get elected because I'll throw it out. #GOPDebate
236	No candidate mentioned	0.394	yes	0.6277	Negative	0.6277	FOX News or Moderators	0.394		White_House_PR		0				8/7/15 9:53	6.30E+17	The Hood	Central Time (US & Canada)		@ChuckNellis @FoxNews You got that right! #GOPDebate
237	Donald Trump	1	yes	1	Negative	1	None of the above	1		jojo21		12				8/7/15 9:53	6.30E+17	"Ellicott City, Maryland"	Eastern Time (US & Canada)		"RT @mrskimcam: Trump just said the U.S. is stupid, so let's vote him President. WTF people. #GOPDebate"
238	John Kasich	1	yes	1	Positive	1	None of the above	1		ultrasonkim		0				8/7/15 9:53	6.30E+17	central ohio			So excited for @johnkasich #GOPDebate #Kasich4Us #Republicandebate #kasich2016 been waiting for 20 years!!
239	No candidate mentioned	1	yes	1	Neutral	0.6222	Foreign Policy	1		BeetaBenjy		38				8/7/15 9:53	6.30E+17	"Los Angeles, CA"	Pacific Time (US & Canada)		"RT @ChadPergram: Rep Engel is 2nd major Jewish Democrat to announce opposition to Iran deal during #GOPDebate, following Schumer opposition."
240	Donald Trump	1	yes	1	Negative	1	None of the above	1		amarco16		0				8/7/15 9:53	6.30E+17		Quito		Hey look it's my feelings about Donald Trump summed up in one gif #GOPDebate http://t.co/zjWUGwj9Hz
241	No candidate mentioned	1	yes	1	Neutral	1	None of the above	1		PotTube		466				8/7/15 9:53	6.30E+17	"Washington, USA"			"RT @tommychong: Are any of these dudes for the legalization of marijuana, or what? #GOPDebate"
242	No candidate mentioned	0.4468	yes	0.6684	Neutral	0.6684	None of the above	0.2323		PamelafBrockman		13				8/7/15 9:53	6.30E+17	"Boulder, Colorado"	Mountain Time (US & Canada)		RT @CBeresniova: What I learned from the #GOPDebate:Some guy's dad was a mailman. Jesus Christ is everyone's running mate. The GOP has run…
243	Marco Rubio	0.4021	yes	0.6341	Negative	0.6341	Immigration	0.4021		AWorldOutOfMind		9				8/7/15 9:52	6.30E+17	USA	Eastern Time (US & Canada)		RT @TheBaxterBean: Marco Rubio Briefly Backed Immigration Reform Then Privately Berated DREAMers http://t.co/We77QdT3Kt #GOPDebate http://t…
244	No candidate mentioned	1	yes	1	Negative	0.6418	None of the above	0.6418		BenjaminMilem		483				8/7/15 9:52	6.30E+17		Eastern Time (US & Canada)		RT @DamienFahey: “I french-kissed Jesus Christ!” - Every candidate #GOPDebate
245	Mike Huckabee	0.6744	yes	1	Negative	0.6744	None of the above	1		mayapilbrow		0				8/7/15 9:52	6.30E+17	your actual anus	Hawaii		#GOPDebate #Closingstatements @GovMikeHuckabee just be honest. u were defs talking about @realDonaldTrump coz he's stealing ur schtick
246	No candidate mentioned	1	yes	1	Negative	1	FOX News or Moderators	1		havocthetwisted		0				8/7/15 9:52	6.30E+17	find me			"When cnn, msnbc ,and the new York times praise fox moderators then you know the moderators fucked up. #GOPDebate"
247	Donald Trump	1	yes	1	Negative	1	None of the above	1		jojo21		11				8/7/15 9:52	6.30E+17	"Ellicott City, Maryland"	Eastern Time (US & Canada)		RT @kesgardner: Trump is a lunatic. #GOPDebate
248	Ted Cruz	1	yes	1	Positive	1	None of the above	1		ChuckNellis		6				8/7/15 9:52	6.30E+17	Great State of North Carolina!	Eastern Time (US & Canada)		"Cruz has class &amp; truth, that gets my vote! #GOPDebate"
249	Donald Trump	1	yes	1	Negative	0.6146	Immigration	1		jojo21		14				8/7/15 9:52	6.30E+17	"Ellicott City, Maryland"	Eastern Time (US & Canada)		"RT @kesgardner: AssClown: I'm the only reason anyone is even talking about illegal immigration. Keep digging, Donald! #GOPDebate"
250	No candidate mentioned	1	yes	1	Positive	0.6395	None of the above	1		embutkiewicz		4270				8/7/15 9:52	6.30E+17				RT @BernieSanders: Tom Hanks. Finally. Somebody who makes some sense. #GOPDebate #DebateWithBernie
251	No candidate mentioned	0.5028	yes	0.7091	Negative	0.7091	None of the above	0.5028		talkthatcunt		102				8/7/15 9:52	6.30E+17	porto triste	Brasilia		RT @SouthernHomo: Olivia Pope would not vote for any of these guys #GOPDebate
252	Mike Huckabee	1	yes	1	Negative	0.6738	Jobs and Economy	1		heatheremoore		0				8/7/15 9:52	6.30E+17	"Olympia, WA"	Pacific Time (US & Canada)		All #GOP candidates want to reduce taxes while #Huckabee wants to legalize prostitution and drugs so we can tax it. #GOPDebate
253	Donald Trump	1	yes	1	Negative	1	FOX News or Moderators	1		jojo21		67				8/7/15 9:52	6.30E+17	"Ellicott City, Maryland"	Eastern Time (US & Canada)		"RT @kesgardner: Hi Fox panel, can you just ask Donald every single question? Hand him a shovel while you're at it so he can keep digging. #…"
254	No candidate mentioned	1	yes	1	Neutral	0.6818	None of the above	1		Jaytrepanier		4				8/7/15 9:52	6.30E+17		Eastern Time (US & Canada)		RT @JosephKapsch: And then hillaryclinton @barackobama joebiden were all #GOPDebate https://t.co/yi4qnS3Hzh
255	Donald Trump	0.4218	yes	0.6495	Positive	0.6495	None of the above	0.4218		robertaritzen		0				8/7/15 9:52	6.30E+17	"Tulsa/ From Jacksonville,Fl "	Central Time (US & Canada)		#GOPDebate #Trump is Breaking Records! So what he's not a polished Politician. Makes me love him even more. https://t.co/TgOwCHxf3x
256	No candidate mentioned	1	yes	1	Negative	0.6701	None of the above	1		embutkiewicz		3385				8/7/15 9:52	6.30E+17				RT @BernieSanders: Oh. It was just a movie trailer. #GOPDebate #DebateWithBernie
257	No candidate mentioned	1	yes	1	Negative	0.3516	FOX News or Moderators	1		sweetsabina		135				8/7/15 9:52	6.30E+17		Hawaii		RT @TacticalDissent: So Sally Kohn &amp; Debbie Wasserman Schultz both praising Megyn Kelly tonight. That should tell you everything you need …
258	Donald Trump	1	yes	1	Negative	1	Women's Issues (not abortion though)	0.6667		beetlechocolate		0				8/7/15 9:52	6.30E+17	everything is fake.	Central Time (US & Canada)		Why are all the Trump accessory women wearing the same shoes?! #GOPDebate http://t.co/Xz4zc1Lt8N
259	No candidate mentioned	1	yes	1	Neutral	0.3596	None of the above	1		LordWhatAMess		0				8/7/15 9:52	6.30E+17		Eastern Time (US & Canada)		"funniest line coming fr #republican 'People are frustrated, they’re fed up, they don’t think the government’s working for them' #gopdebate"
260	Donald Trump	1	yes	1	Negative	1	None of the above	1		_iheartmomo		0				8/7/15 9:52	6.30E+17	"Accra, New Jersey"	Mountain Time (US & Canada)		And Donald Trump is an absolute nut! So entertaining LOL #GOPDebate
261	No candidate mentioned	1	yes	1	Negative	0.6703	FOX News or Moderators	1		shyone269		0				8/7/15 9:52	6.30E+17	Not where I want to be U.S.A.	America/New_York		"""@thehill: Top GOP pundits pick their #GOPdebate winners: http://t.co/QPvJu6p7sz http://t.co/JCDu5qzjnj""Winners Fox NewsLosers USA"
262	No candidate mentioned	1	yes	1	Negative	1	None of the above	0.6562		elueroy		6				8/7/15 9:52	6.30E+17		Pacific Time (US & Canada)		RT @DykstraDame: Candidates went after @HillaryClinton 32 times in the #GOPdebate-but remained silent about the issues that affect us. http…
263	Donald Trump	1	yes	1	Negative	0.7039	FOX News or Moderators	1		JCArgentum		231				8/7/15 9:52	6.30E+17				RT @DanScavino: .@MegynKelly trying 2show up @realDonaldTrump w @FoxNews. Trying 2take him down. Trying 2destroy him. Not happening. #Kelly…
264	Ben Carson	0.6897	yes	1	Negative	0.3678	None of the above	0.6322		Matthew8News		0				8/7/15 9:52	6.30E+17	"Richmond, VA"	Eastern Time (US & Canada)		RT @gov: Most-Tweeted #GOPDebate moment for @RealBenCarson: saying he wouldn't publicize to the world his answer on waterboarding.
265	Donald Trump	1	yes	1	Negative	1	None of the above	1		janniaragon		0				8/7/15 9:52	6.30E+17		Pacific Time (US & Canada)		I give him a e for his big ego. #GOPDebate A's are earned for excellence. Rhymes with rump.
266	No candidate mentioned	1	yes	1	Positive	0.6552	Religion	0.7011		DrThinkBot		0				8/7/15 9:52	6.30E+17				Passion of the #GOPDebate #ReligiousUpaMovie
267	Marco Rubio	0.4395	yes	0.6629	Positive	0.6629	FOX News or Moderators	0.2235		TEA_PartyBarbie		28				8/7/15 9:52	6.30E+17				"RT @NRO: ""@marcorubio got the best reviews, and deserved them."" Read more of our #NREditorial recap of the #GOPDebate ---&gt; http://t.co/sTzw…"
268	No candidate mentioned	0.4074	yes	0.6383	Neutral	0.3511	None of the above	0.4074		8thfloorview		140				8/7/15 9:52	6.30E+17	"New Jersey, USA"			RT @OhNoSheTwitnt: Can't wait to see which Lannister they kill off in the next episode of #GOPDebate
269	No candidate mentioned	1	yes	1	Positive	0.6819	None of the above	0.638		jojo21		5				8/7/15 9:52	6.30E+17	"Ellicott City, Maryland"	Eastern Time (US & Canada)		RT @kesgardner: Brutal question to the AssClown from Megan Kelly. The lesson here: be careful what you tweet on Twitter! #GOPDebate
270	No candidate mentioned	0.3974	yes	0.6304	Neutral	0.6304	None of the above	0.3974		MexiRicanLL		141				8/7/15 9:52	6.30E+17	Born Chicago/Live Pennsylvania	Eastern Time (US & Canada)		RT @TUSK81: Democrats watching this #GOPDebate http://t.co/sZiCSLm7kM
271	Donald Trump	1	yes	1	Negative	1	Abortion	1		Clever_Otter		0				8/7/15 9:52	6.30E+17	Earth	Mountain Time (US & Canada)		Trump changed his mind on supporting PARTIAL BIRTH ABORTION because a friend changed their mind on aborting &amp; had a great kid. #GOPDebate
272	Ben Carson	1	yes	1	Positive	1	None of the above	1		annemargaretj		0				8/7/15 9:52	6.30E+17	"Breslau, Ontario "			Best closing statement: @RealBenCarson #GOPDebate
273	Chris Christie	0.7021	yes	1	Positive	0.7021	None of the above	1		sjrhue3		96				8/7/15 9:52	6.30E+17				RT @ChrisChristie: We have to stop worrying about being loved &amp; start worrying about being respected. #TellingItLikeItIs #GOPDebatehttps:/…
274	Donald Trump	0.4036	yes	0.6353	Negative	0.6353		0.2317		KendaluKendalu		2				8/7/15 9:52	6.30E+17	Toronto - Cartagena	Atlantic Time (Canada)		"RT @lesleyabravanel: Trump sycophants want to know what @megynkelly's ""hidden agenda"" was last night. Answer is simple: it's called a vagin…"
275	No candidate mentioned	0.6772	yes	1	Neutral	0.6437	FOX News or Moderators	0.3563		1216BJ		0				8/7/15 9:52	6.30E+17		Eastern Time (US & Canada)		The Real #GOPDebate Winner: Republican Voters - Fox Nation http://t.co/98G42IaZ5O
276	Donald Trump	0.3923	yes	0.6264	Negative	0.6264		0.234		BigBigBen		0				8/7/15 9:52	6.30E+17	Barcelona	Madrid		Donald Trump is a really nasty piece of work. Hope he disappears quickly. #GOPDebate
277	No candidate mentioned	1	yes	1	Negative	1	Abortion	1		willowalmighty		608				8/7/15 9:52	6.30E+17		Atlantic Time (Canada)		RT @amaraconda: FETUSES ARE NOT UNBORN BABIES THEY ARE CLUSTERS OF CELLS STOP SHAMING PEOPLE WHO WANT/HAVE HAD ABORTIONS #GOPDebate
